algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff
Feldman-SVM-accuracy,lambda=0.0,0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333333,0.7071067811865476,0.46666666666666673,0.46666666666666673,0.7714285714285715,0.9,0.7857142857142857,0.8428571428571429,1.1454545454545455,1.1454545454545455,1.1142857142857143,1.1142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.375,0.25,0.3333333333333333,0.3333333333333333,0.75,0.75
Feldman-SVM-accuracy,lambda=0.05,0,0.7916666666666666,0.5833333333333334,1.0,0.7916666666666667,0.641688947919748,0.23333333333333336,0.23333333333333336,0.6714285714285715,0.8,0.7857142857142857,0.7928571428571429,1.0181818181818183,1.0181818181818183,1.0142857142857142,1.0142857142857142,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.6666666666666667,0.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.33333333333333337,0.5,2.0,2.0,1.3333333333333335,1.3333333333333335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.375,0.2986111111111111,0.5925925925925926,0.5925925925925926,0.8472222222222222,0.8472222222222222
Feldman-SVM-accuracy,lambda=0.1,0,0.7916666666666666,0.5833333333333334,1.0,0.7916666666666667,0.641688947919748,0.56,0.56,0.8428571428571429,0.9,0.7142857142857143,0.8071428571428572,1.26,1.26,1.1857142857142857,1.1857142857142857,0.6666666666666666,0.5555555555555556,0.6111111111111112,1.2,1.2,1.1111111111111112,1.1111111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.4444444444444444,0.3888888888888889,0.7500000000000001,0.7500000000000001,0.888888888888889,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.4444444444444444,0.2847222222222222,0.28125,0.28125,0.6805555555555556,0.6805555555555556
Feldman-SVM-accuracy,lambda=0.15,0,0.75,0.5,1.0,0.75,0.5773502691896257,0.7000000000000001,0.7000000000000001,0.9142857142857144,0.9,0.6428571428571429,0.7714285714285715,1.4,1.4,1.2571428571428571,1.2571428571428571,0.6666666666666666,0.4444444444444444,0.5555555555555556,1.5,1.5,1.2222222222222223,1.2222222222222223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.5555555555555556,0.4444444444444445,0.6000000000000001,0.6000000000000001,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.3125,0.25,0.25,0.625,0.625
Feldman-SVM-accuracy,lambda=0.2,0,0.75,0.5,1.0,0.75,0.5773502691896257,0.7000000000000001,0.7000000000000001,0.9142857142857144,0.9,0.6428571428571429,0.7714285714285715,1.4,1.4,1.2571428571428571,1.2571428571428571,0.6666666666666666,0.4444444444444444,0.5555555555555556,1.5,1.5,1.2222222222222223,1.2222222222222223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.5555555555555556,0.4444444444444445,0.6000000000000001,0.6000000000000001,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.3125,0.25,0.25,0.625,0.625
Feldman-SVM-accuracy,lambda=0.25,0,0.75,0.5,1.0,0.75,0.5773502691896257,0.7000000000000001,0.7000000000000001,0.9142857142857144,0.9,0.6428571428571429,0.7714285714285715,1.4,1.4,1.2571428571428571,1.2571428571428571,0.6666666666666666,0.4444444444444444,0.5555555555555556,1.5,1.5,1.2222222222222223,1.2222222222222223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.5555555555555556,0.4444444444444445,0.6000000000000001,0.6000000000000001,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.3125,0.25,0.25,0.625,0.625
Feldman-SVM-accuracy,lambda=0.3,0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333333,0.7071067811865476,0.46666666666666673,0.46666666666666673,0.7714285714285715,0.9,0.7857142857142857,0.8428571428571429,1.1454545454545455,1.1454545454545455,1.1142857142857143,1.1142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.375,0.25,0.3333333333333333,0.3333333333333333,0.75,0.75
Feldman-SVM-accuracy,lambda=0.35,0,0.7083333333333334,0.5833333333333334,0.8333333333333334,0.7083333333333334,0.43033148291193524,0.7000000000000001,0.7000000000000001,0.8714285714285714,0.8,0.6428571428571429,0.7214285714285715,1.2444444444444445,1.2444444444444445,1.157142857142857,1.157142857142857,0.6666666666666666,0.5555555555555556,0.6111111111111112,1.2,1.2,1.1111111111111112,1.1111111111111112,0.8571428571428571,0.8,0.8285714285714285,1.0714285714285714,1.0714285714285714,1.057142857142857,1.057142857142857,0.1428571428571429,0.19999999999999996,0.17142857142857143,0.7142857142857146,0.7142857142857146,0.942857142857143,0.942857142857143,0.33333333333333337,0.4444444444444444,0.3888888888888889,0.7500000000000001,0.7500000000000001,0.888888888888889,0.888888888888889,0.6666666666666666,0.8333333333333334,0.75,0.7999999999999999,0.7999999999999999,0.8333333333333333,0.8333333333333333,0.14285714285714285,0.5,0.3214285714285714,0.2857142857142857,0.2857142857142857,0.6428571428571428,0.6428571428571428
Feldman-SVM-accuracy,lambda=0.4,0,0.625,0.4166666666666667,0.8333333333333334,0.625,0.27500954910846337,0.56,0.56,0.8428571428571429,0.7,0.5714285714285714,0.6357142857142857,1.225,1.225,1.1285714285714286,1.1285714285714286,0.3333333333333333,0.4444444444444444,0.38888888888888884,0.75,0.75,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8,0.8285714285714285,1.0714285714285714,1.0714285714285714,1.057142857142857,1.057142857142857,0.1428571428571429,0.19999999999999996,0.17142857142857143,0.7142857142857146,0.7142857142857146,0.942857142857143,0.942857142857143,0.6666666666666667,0.5555555555555556,0.6111111111111112,1.2000000000000002,1.2000000000000002,1.1111111111111112,1.1111111111111112,0.5,0.8,0.65,0.625,0.625,0.7,0.7,0.25,0.5555555555555556,0.4027777777777778,0.44999999999999996,0.44999999999999996,0.6944444444444444,0.6944444444444444
Feldman-SVM-accuracy,lambda=0.45,0,0.625,0.3333333333333333,0.9166666666666666,0.625,0.30779350562554625,0.9333333333333335,0.9333333333333335,0.9857142857142858,0.7,0.5714285714285714,0.6357142857142857,1.225,1.225,1.1285714285714286,1.1285714285714286,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.1428571428571429,0.0,0.07142857142857145,0.0,1.0,1.1428571428571428,1.1428571428571428,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.25,0.5454545454545454,0.3977272727272727,0.45833333333333337,0.45833333333333337,0.7045454545454546,0.7045454545454546
