algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff
Kamishima-accuracy,eta=0.0,0,0.6666666666666666,0.6923076923076923,0.6428571428571429,0.6675824175824177,0.33516483516483514,0.09615384615384615,0.09615384615384615,0.21666666666666667,0.5833333333333334,0.7333333333333333,0.6583333333333333,0.7954545454545455,0.7954545454545455,0.8500000000000001,0.8500000000000001,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.875,0.3333333333333333,0.6041666666666666,2.625,2.625,1.5416666666666667,1.5416666666666667,0.125,0.6666666666666667,0.39583333333333337,0.18749999999999997,0.18749999999999997,0.45833333333333326,0.45833333333333326,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,0.6923076923076923,0.34615384615384615,0.0,1.0,0.3076923076923077,0.3076923076923077,0.36363636363636365,0.0,0.18181818181818182,0.0,1.0,1.3636363636363638,1.3636363636363638
Kamishima-accuracy,eta=1.0,0,0.7037037037037037,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.4065934065934066,0.10416666666666666,0.10416666666666666,0.2833333333333333,0.5833333333333334,0.8,0.6916666666666667,0.7291666666666666,0.7291666666666666,0.7833333333333333,0.7833333333333333,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.875,0.5,0.6875,1.75,1.75,1.375,1.375,0.125,0.5,0.3125,0.25,0.25,0.625,0.625,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,0.75,0.375,0.0,1.0,0.25,0.25,0.36363636363636365,0.0,0.18181818181818182,0.0,1.0,1.3636363636363638,1.3636363636363638
Kamishima-accuracy,eta=2.0,0,0.7037037037037037,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.4065934065934066,0.10416666666666666,0.10416666666666666,0.2833333333333333,0.5833333333333334,0.8,0.6916666666666667,0.7291666666666666,0.7291666666666666,0.7833333333333333,0.7833333333333333,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.875,0.5,0.6875,1.75,1.75,1.375,1.375,0.125,0.5,0.3125,0.25,0.25,0.625,0.625,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,0.75,0.375,0.0,1.0,0.25,0.25,0.36363636363636365,0.0,0.18181818181818182,0.0,1.0,1.3636363636363638,1.3636363636363638
Kamishima-accuracy,eta=3.0,0,0.7037037037037037,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.4065934065934066,0.10416666666666666,0.10416666666666666,0.2833333333333333,0.5833333333333334,0.8,0.6916666666666667,0.7291666666666666,0.7291666666666666,0.7833333333333333,0.7833333333333333,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.875,0.5,0.6875,1.75,1.75,1.375,1.375,0.125,0.5,0.3125,0.25,0.25,0.625,0.625,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,0.75,0.375,0.0,1.0,0.25,0.25,0.36363636363636365,0.0,0.18181818181818182,0.0,1.0,1.3636363636363638,1.3636363636363638
Kamishima-accuracy,eta=4.0,0,0.7407407407407407,0.6923076923076923,0.7857142857142857,0.739010989010989,0.48067031949555206,0.11363636363636363,0.11363636363636363,0.3500000000000001,0.5833333333333334,0.8666666666666667,0.7250000000000001,0.6730769230769231,0.6730769230769231,0.7166666666666667,0.7166666666666667,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.875,0.6666666666666666,0.7708333333333333,1.3125,1.3125,1.2083333333333335,1.2083333333333335,0.125,0.33333333333333337,0.22916666666666669,0.37499999999999994,0.37499999999999994,0.7916666666666666,0.7916666666666666,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,0.8181818181818182,0.4090909090909091,0.0,1.0,0.18181818181818177,0.18181818181818177,0.36363636363636365,0.0,0.18181818181818182,0.0,1.0,1.3636363636363638,1.3636363636363638
Kamishima-accuracy,eta=5.0,0,0.7777777777777778,0.6153846153846154,0.9285714285714286,0.771978021978022,0.576556660197055,0.15625,0.15625,0.55,0.5833333333333334,0.9333333333333333,0.7583333333333333,0.625,0.625,0.65,0.65,0.0,0.8888888888888888,0.4444444444444444,0.0,1.0,0.11111111111111116,0.11111111111111116,0.875,1.0,0.9375,0.875,0.875,0.875,0.875,0.125,0.0,0.0625,0.0,1.0,1.125,1.125,1.0,0.11111111111111116,0.5555555555555556,8.999999999999996,8.999999999999996,1.8888888888888888,1.8888888888888888,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.36363636363636365,0.14285714285714285,0.2532467532467533,2.545454545454546,2.545454545454546,1.2207792207792207,1.2207792207792207
Kamishima-accuracy,eta=10.0,0,0.7037037037037037,0.46153846153846156,0.9285714285714286,0.695054945054945,0.44479370979142197,0.20833333333333331,0.20833333333333331,0.6833333333333333,0.5833333333333334,0.8,0.6916666666666667,0.7291666666666666,0.7291666666666666,0.7833333333333333,0.7833333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.33333333333333337,0.33333333333333337,0.875,1.0,0.9375,0.875,0.875,0.875,0.875,0.125,0.0,0.0625,0.0,1.0,1.125,1.125,1.0,0.33333333333333337,0.6666666666666667,2.9999999999999996,2.9999999999999996,1.6666666666666665,1.6666666666666665,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.36363636363636365,0.3333333333333333,0.3484848484848485,1.090909090909091,1.090909090909091,1.0303030303030303,1.0303030303030303
Kamishima-accuracy,eta=15.0,0,0.5185185185185185,0.07692307692307693,0.9285714285714286,0.5027472527472527,0.010482848367219183,1.25,1.25,1.0166666666666666,0.5833333333333334,0.4666666666666667,0.525,1.25,1.25,1.1166666666666667,1.1166666666666667,0.0,0.1111111111111111,0.05555555555555555,0.0,1.0,0.8888888888888888,0.8888888888888888,0.875,1.0,0.9375,0.875,0.875,0.875,0.875,0.125,0.0,0.0625,0.0,1.0,1.125,1.125,1.0,0.8888888888888888,0.9444444444444444,1.125,1.125,1.1111111111111112,1.1111111111111112,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.36363636363636365,0.5714285714285714,0.4675324675324675,0.6363636363636365,0.6363636363636365,0.7922077922077922,0.7922077922077922
Kamishima-accuracy,eta=20.0,0,0.48148148148148145,0.0,0.9285714285714286,0.4642857142857143,-0.1889822365046136,0.0,1.0,1.0833333333333333,0.5833333333333334,0.4,0.4916666666666667,1.4583333333333333,1.4583333333333333,1.1833333333333333,1.1833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.875,0.875,0.125,0.0,0.0625,0.0,1.0,1.125,1.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.36363636363636365,0.6,0.4818181818181818,0.6060606060606061,0.6060606060606061,0.7636363636363637,0.7636363636363637
Kamishima-accuracy,eta=30.0,0,0.48148148148148145,0.0,0.9285714285714286,0.4642857142857143,-0.1889822365046136,0.0,1.0,1.0833333333333333,0.5833333333333334,0.4,0.4916666666666667,1.4583333333333333,1.4583333333333333,1.1833333333333333,1.1833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.875,0.875,0.125,0.0,0.0625,0.0,1.0,1.125,1.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.36363636363636365,0.6,0.4818181818181818,0.6060606060606061,0.6060606060606061,0.7636363636363637,0.7636363636363637
Kamishima-accuracy,eta=40.0,0,0.5185185185185185,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.5333333333333333,1.6666666666666665,1.6666666666666665,1.2666666666666666,1.2666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6,0.4666666666666667,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
Kamishima-accuracy,eta=50.0,0,0.5185185185185185,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.5333333333333333,1.6666666666666665,1.6666666666666665,1.2666666666666666,1.2666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6,0.4666666666666667,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
Kamishima-accuracy,eta=100.0,0,0.5185185185185185,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.5333333333333333,1.6666666666666665,1.6666666666666665,1.2666666666666666,1.2666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6,0.4666666666666667,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
Kamishima-accuracy,eta=150.0,0,0.5185185185185185,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.5333333333333333,1.6666666666666665,1.6666666666666665,1.2666666666666666,1.2666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6,0.4666666666666667,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
Kamishima-accuracy,eta=200.0,0,0.5185185185185185,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.5333333333333333,1.6666666666666665,1.6666666666666665,1.2666666666666666,1.2666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6,0.4666666666666667,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
