Algorithm name,trial,data type,baseline DI Binary,post-alg DI Binary,baseline DI avg all,post-alg DI avg all,baseline CV,post-alg CV
SVM,0,numerical,0.5,0.833333333,0.416666667,0.763888889,0.75,0.9
SVM,0,numerical-binsensitive,0.5,0.833333333,0.5,0.833333333,0.75,0.9
SVM,1,numerical,0.47008547,0.977777778,0.47008547,0.977777778,0.686868687,0.984848485
SVM,1,numerical-binsensitive,0.47008547,0.977777778,0.47008547,0.977777778,0.686868687,0.984848485
SVM,2,numerical,0.464285714,0.43697479,0.4875,0.420588235,0.752747253,0.631868132
SVM,2,numerical-binsensitive,0.464285714,0.43697479,0.464285714,0.43697479,0.752747253,0.631868132
SVM,3,numerical,0.47008547,0.658119658,0.486538462,0.655769231,0.686868687,0.797979798
SVM,3,numerical-binsensitive,0.47008547,0.658119658,0.47008547,0.658119658,0.686868687,0.797979798
SVM,4,numerical,0.454545455,0.833333333,0.468319559,0.858585859,0.7,0.9
SVM,4,numerical-binsensitive,0.454545455,0.833333333,0.454545455,0.833333333,0.7,0.9
SVM,5,numerical,0.8,0.5625,0.787301587,0.547619048,0.875,0.854166667
SVM,5,numerical-binsensitive,0.8,0.5625,0.8,0.5625,0.875,0.854166667
SVM,6,numerical,0.909090909,0.833333333,0.883838384,0.793650794,0.96,0.906666667
SVM,6,numerical-binsensitive,0.909090909,0.833333333,0.909090909,0.833333333,0.96,0.906666667
SVM,7,numerical,0.351515152,0.878787879,0.322222222,0.902222222,0.664576803,0.937304075
SVM,7,numerical-binsensitive,0.351515152,0.878787879,0.351515152,0.878787879,0.664576803,0.937304075
SVM,8,numerical,0.464285714,0.675324675,0.473958333,0.640151515,0.67032967,0.862637363
SVM,8,numerical-binsensitive,0.464285714,0.675324675,0.464285714,0.675324675,0.67032967,0.862637363
SVM,9,numerical,0.132653061,0.928571429,0.116071429,0.889880952,0.532967033,0.961538462
SVM,9,numerical-binsensitive,0.132653061,0.928571429,0.132653061,0.928571429,0.532967033,0.961538462
GaussianNB,0,numerical,0.5,0.5,0.416666667,0.451388889,0.75,0.7
GaussianNB,0,numerical-binsensitive,0.5,0.5,0.5,0.5,0.75,0.7
GaussianNB,1,numerical,0.47008547,0.349206349,0.47008547,0.349206349,0.686868687,0.585858586
GaussianNB,1,numerical-binsensitive,0.47008547,0.349206349,0.47008547,0.349206349,0.686868687,0.585858586
GaussianNB,2,numerical,0.464285714,0.464285714,0.4875,0.56875,0.752747253,0.67032967
GaussianNB,2,numerical-binsensitive,0.464285714,0.464285714,0.464285714,0.464285714,0.752747253,0.67032967
GaussianNB,3,numerical,0.47008547,0.244444444,0.486538462,0.238333333,0.686868687,0.484848485
GaussianNB,3,numerical-binsensitive,0.47008547,0.244444444,0.47008547,0.244444444,0.686868687,0.484848485
GaussianNB,4,numerical,0.454545455,0.4,0.468319559,0.404040404,0.7,0.55
GaussianNB,4,numerical-binsensitive,0.454545455,0.4,0.454545455,0.4,0.7,0.55
GaussianNB,5,numerical,0.8,0.75,0.787301587,0.738095238,0.875,0.833333333
GaussianNB,5,numerical-binsensitive,0.8,0.75,0.8,0.75,0.875,0.833333333
GaussianNB,6,numerical,0.909090909,0.555555556,0.883838384,0.509259259,0.96,0.733333333
GaussianNB,6,numerical-binsensitive,0.909090909,0.555555556,0.909090909,0.555555556,0.96,0.733333333
GaussianNB,7,numerical,0.351515152,0.351515152,0.322222222,0.322222222,0.664576803,0.664576803
GaussianNB,7,numerical-binsensitive,0.351515152,0.351515152,0.351515152,0.351515152,0.664576803,0.664576803
GaussianNB,8,numerical,0.464285714,0.390977444,0.473958333,0.399122807,0.67032967,0.554945055
GaussianNB,8,numerical-binsensitive,0.464285714,0.390977444,0.464285714,0.390977444,0.67032967,0.554945055
GaussianNB,9,numerical,0.132653061,0.109243697,0.116071429,0.095588235,0.532967033,0.417582418
GaussianNB,9,numerical-binsensitive,0.132653061,0.109243697,0.132653061,0.109243697,0.532967033,0.417582418
LR,0,numerical,0.5,0.5,0.416666667,0.416666667,0.75,0.75
LR,0,numerical-binsensitive,0.5,0.5,0.5,0.5,0.75,0.75
LR,1,numerical,0.47008547,0.47008547,0.47008547,0.47008547,0.686868687,0.686868687
LR,1,numerical-binsensitive,0.47008547,0.47008547,0.47008547,0.47008547,0.686868687,0.686868687
LR,2,numerical,0.464285714,0.464285714,0.4875,0.4875,0.752747253,0.752747253
LR,2,numerical-binsensitive,0.464285714,0.464285714,0.464285714,0.464285714,0.752747253,0.752747253
LR,3,numerical,0.47008547,0.47008547,0.486538462,0.486538462,0.686868687,0.686868687
LR,3,numerical-binsensitive,0.47008547,0.47008547,0.47008547,0.47008547,0.686868687,0.686868687
LR,4,numerical,0.454545455,0.454545455,0.468319559,0.468319559,0.7,0.7
LR,4,numerical-binsensitive,0.454545455,0.454545455,0.454545455,0.454545455,0.7,0.7
LR,5,numerical,0.8,0.8,0.787301587,0.787301587,0.875,0.875
LR,5,numerical-binsensitive,0.8,0.8,0.8,0.8,0.875,0.875
LR,6,numerical,0.909090909,0.833333333,0.883838384,0.810185185,0.96,0.92
LR,6,numerical-binsensitive,0.909090909,0.833333333,0.909090909,0.833333333,0.96,0.92
LR,7,numerical,0.351515152,0.351515152,0.322222222,0.322222222,0.664576803,0.664576803
LR,7,numerical-binsensitive,0.351515152,0.351515152,0.351515152,0.351515152,0.664576803,0.664576803
LR,8,numerical,0.464285714,0.43697479,0.473958333,0.446078431,0.67032967,0.631868132
LR,8,numerical-binsensitive,0.464285714,0.43697479,0.464285714,0.43697479,0.67032967,0.631868132
LR,9,numerical,0.132653061,0.142857143,0.116071429,0.125,0.532967033,0.571428571
LR,9,numerical-binsensitive,0.132653061,0.142857143,0.132653061,0.142857143,0.532967033,0.571428571
DecisionTree,0,numerical,0.5,0.5,0.416666667,0.416666667,0.75,0.75
DecisionTree,0,numerical-binsensitive,0.5,0.5,0.5,0.5,0.75,0.75
DecisionTree,1,numerical,0.47008547,0.47008547,0.47008547,0.47008547,0.686868687,0.686868687
DecisionTree,1,numerical-binsensitive,0.47008547,0.47008547,0.47008547,0.47008547,0.686868687,0.686868687
DecisionTree,2,numerical,0.464285714,0.464285714,0.4875,0.4875,0.752747253,0.752747253
DecisionTree,2,numerical-binsensitive,0.464285714,0.464285714,0.464285714,0.464285714,0.752747253,0.752747253
DecisionTree,3,numerical,0.47008547,0.436507937,0.486538462,0.451785714,0.686868687,0.641414141
DecisionTree,3,numerical-binsensitive,0.47008547,0.436507937,0.47008547,0.436507937,0.686868687,0.641414141
DecisionTree,4,numerical,0.454545455,0.416666667,0.468319559,0.429292929,0.7,0.65
DecisionTree,4,numerical-binsensitive,0.454545455,0.416666667,0.454545455,0.416666667,0.7,0.65
DecisionTree,5,numerical,0.8,0.857142857,0.787301587,0.843537415,0.875,0.916666667
DecisionTree,5,numerical-binsensitive,0.8,0.857142857,0.8,0.857142857,0.875,0.916666667
DecisionTree,6,numerical,0.909090909,0.833333333,0.883838384,0.810185185,0.96,0.92
DecisionTree,6,numerical-binsensitive,0.909090909,0.833333333,0.909090909,0.833333333,0.96,0.92
DecisionTree,7,numerical,0.351515152,0.351515152,0.322222222,0.322222222,0.664576803,0.664576803
DecisionTree,7,numerical-binsensitive,0.351515152,0.351515152,0.351515152,0.351515152,0.664576803,0.664576803
DecisionTree,8,numerical,0.464285714,0.464285714,0.473958333,0.473958333,0.67032967,0.67032967
DecisionTree,8,numerical-binsensitive,0.464285714,0.464285714,0.464285714,0.464285714,0.67032967,0.67032967
DecisionTree,9,numerical,0.132653061,0.142857143,0.116071429,0.125,0.532967033,0.571428571
DecisionTree,9,numerical-binsensitive,0.132653061,0.142857143,0.132653061,0.142857143,0.532967033,0.571428571
Kamishima,0,numerical-binsensitive,0.5,0.153846154,0.5,0.153846154,0.75,0.45
Kamishima,1,numerical-binsensitive,0.47008547,0.229166667,0.47008547,0.229166667,0.686868687,0.439393939
Kamishima,2,numerical-binsensitive,0.464285714,0.084415584,0.464285714,0.084415584,0.752747253,0.225274725
Kamishima,3,numerical-binsensitive,0.47008547,0.271604938,0.47008547,0.271604938,0.686868687,0.404040404
Kamishima,4,numerical-binsensitive,0.454545455,0.444444444,0.454545455,0.444444444,0.7,0.5
Kamishima,5,numerical-binsensitive,0.8,0,0.8,1,0.875,0.166666667
Kamishima,6,numerical-binsensitive,0.909090909,0.166666667,0.909090909,0.166666667,0.96,0.333333333
Kamishima,7,numerical-binsensitive,0.351515152,0.188311688,0.351515152,0.188311688,0.664576803,0.21630094
Kamishima,8,numerical-binsensitive,0.464285714,0,0.464285714,1,0.67032967,0.269230769
