Algorithm name,trial,data type,baseline DI Binary,post-alg DI Binary,baseline DI avg all,post-alg DI avg all,baseline CV,post-alg CV
SVM,0,numerical,0.24761904761904763,0.3482142857142857,0.1925925925925926,0.2708333333333333,0.5659340659340659,0.5989010989010989
SVM,0,numerical-binsensitive,0.24761904761904763,0.3482142857142857,0.24761904761904763,0.3482142857142857,0.5659340659340659,0.5989010989010989
SVM,1,numerical,0.38461538461538464,0.8771929824561403,0.4807692307692307,0.9137426900584795,0.6799999999999999,0.9066666666666666
SVM,1,numerical-binsensitive,0.38461538461538464,0.8771929824561403,0.38461538461538464,0.8771929824561403,0.6799999999999999,0.9066666666666666
SVM,2,numerical,0.5703703703703704,1.0185185185185186,0.5683333333333334,1.0541666666666667,0.7070707070707072,1.0050505050505052
SVM,2,numerical-binsensitive,0.5703703703703704,1.0185185185185186,0.5703703703703704,1.0185185185185186,0.7070707070707072,1.0050505050505052
SVM,3,numerical,0.4605263157894737,0.7651821862348177,0.4935897435897436,0.7041420118343195,0.6917293233082706,0.8546365914786966
SVM,3,numerical-binsensitive,0.4605263157894737,0.7651821862348177,0.4605263157894737,0.7651821862348177,0.6917293233082706,0.8546365914786966
SVM,4,numerical,0.3333333333333333,0.3333333333333333,0.3111111111111111,0.3555555555555555,0.5,0.75
SVM,4,numerical-binsensitive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.75
SVM,5,numerical,0.39473684210526316,0.6140350877192983,0.41761363636363635,0.6496212121212122,0.5964912280701755,0.8345864661654135
SVM,5,numerical-binsensitive,0.39473684210526316,0.6140350877192983,0.39473684210526316,0.6140350877192983,0.5964912280701755,0.8345864661654135
SVM,6,numerical,0.5882352941176471,0.41666666666666663,0.590861344537815,0.390625,0.72,0.9066666666666666
SVM,6,numerical-binsensitive,0.5882352941176471,0.41666666666666663,0.5882352941176471,0.41666666666666663,0.72,0.9066666666666666
SVM,7,numerical,0.22222222222222224,1.0,0.20202020202020202,0.9867909867909868,0.65,1.0
SVM,7,numerical-binsensitive,0.22222222222222224,1.0,0.22222222222222224,1.0,0.65,1.0
SVM,8,numerical,0.4901960784313725,0.5555555555555556,0.3676470588235294,0.4166666666666667,0.6533333333333333,0.8400000000000001
SVM,8,numerical-binsensitive,0.4901960784313725,0.5555555555555556,0.4901960784313725,0.5555555555555556,0.6533333333333333,0.8400000000000001
SVM,9,numerical,0.4700854700854701,0.6111111111111112,0.4935897435897436,0.6111111111111112,0.6868686868686869,0.7878787878787878
SVM,9,numerical-binsensitive,0.4700854700854701,0.6111111111111112,0.4700854700854701,0.6111111111111112,0.6868686868686869,0.7878787878787878
