algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff
SVM,,0,0.7916666666666666,1.0,0.7058823529411765,0.8529411764705883,0.641688947919748,0.823529411764706,0.823529411764706,0.8991596638655462,0.8235294117647058,0.7142857142857143,0.76890756302521,1.1529411764705881,1.1529411764705881,1.1092436974789917,1.1092436974789917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6,0.675,1.25,1.25,1.15,1.15,0.25,0.4,0.325,0.625,0.625,0.85,0.85,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.625,0.5,0.5625,1.25,1.25,1.125,1.125,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,1,0.75,1.0,0.6470588235294118,0.8235294117647058,0.5902679811685199,0.6588235294117647,0.6588235294117647,0.7563025210084033,0.8235294117647058,0.5714285714285714,0.6974789915966386,1.4411764705882353,1.4411764705882353,1.2521008403361344,1.2521008403361344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.4,0.575,1.875,1.875,1.35,1.35,0.25,0.6,0.425,0.4166666666666667,0.4166666666666667,0.65,0.65,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.625,0.4,0.5125,1.5625,1.5625,1.225,1.225,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,2,0.7916666666666666,1.0,0.7058823529411765,0.8529411764705883,0.641688947919748,2.058823529411765,2.058823529411765,1.3025210084033614,0.7058823529411765,1.0,0.8529411764705883,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5833333333333334,1.0,0.7916666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.41666666666666663,0.0,0.20833333333333331,0.0,1.0,1.4166666666666665,1.4166666666666665,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,3,0.7083333333333334,1.0,0.5882352941176471,0.7941176470588236,0.5423261445466404,2.4705882352941178,2.4705882352941178,1.4201680672268908,0.5882352941176471,1.0,0.7941176470588236,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,1.0,0.7083333333333334,0.4166666666666667,0.4166666666666667,0.41666666666666674,0.41666666666666674,0.5833333333333333,0.0,0.29166666666666663,0.0,1.0,1.5833333333333333,1.5833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,1.0,0.7083333333333334,0.4166666666666667,0.4166666666666667,0.41666666666666674,0.41666666666666674,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,4,0.75,1.0,0.6470588235294118,0.8235294117647058,0.5902679811685199,0.6588235294117647,0.6588235294117647,0.7563025210084033,0.8235294117647058,0.5714285714285714,0.6974789915966386,1.4411764705882353,1.4411764705882353,1.2521008403361344,1.2521008403361344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.4,0.575,1.875,1.875,1.35,1.35,0.25,0.6,0.425,0.4166666666666667,0.4166666666666667,0.65,0.65,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.625,0.4,0.5125,1.5625,1.5625,1.225,1.225,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,5,0.7916666666666666,1.0,0.7058823529411765,0.8529411764705883,0.641688947919748,1.2352941176470589,1.2352941176470589,1.1008403361344539,0.7647058823529411,0.8571428571428571,0.8109243697478992,0.892156862745098,0.892156862745098,0.907563025210084,0.907563025210084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,0.7333333333333334,0.8333333333333333,0.8333333333333333,0.8666666666666666,0.8666666666666666,0.33333333333333337,0.19999999999999996,0.26666666666666666,1.6666666666666672,1.6666666666666672,1.1333333333333333,1.1333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.8333333333333334,0.888888888888889,0.888888888888889,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,6,0.875,1.0,0.8235294117647058,0.9117647058823529,0.7592566023652966,0.9607843137254902,0.9607843137254902,0.9831932773109244,0.8823529411764706,0.8571428571428571,0.8697478991596639,1.0294117647058825,1.0294117647058825,1.0252100840336134,1.0252100840336134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8,0.8166666666666667,1.0416666666666667,1.0416666666666667,1.0333333333333332,1.0333333333333332,0.16666666666666663,0.19999999999999996,0.1833333333333333,0.8333333333333334,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6666666666666666,0.6904761904761905,1.0714285714285716,1.0714285714285716,1.0476190476190477,1.0476190476190477,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,7,0.75,0.8571428571428571,0.7058823529411765,0.7815126050420168,0.5136098017959848,4.11764705882353,4.11764705882353,1.4453781512605042,0.7058823529411765,0.8571428571428571,0.7815126050420168,0.823529411764706,0.823529411764706,0.8487394957983194,0.8487394957983194,1.0,0.5,0.75,2.0,2.0,1.5,1.5,0.5833333333333334,1.0,0.7916666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.41666666666666663,0.0,0.20833333333333331,0.0,1.0,1.4166666666666665,1.4166666666666665,0.0,0.5,0.25,0.0,1.0,0.5,0.5,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.16666666666666666,0.08333333333333333,0.0,1.0,0.8333333333333334,0.8333333333333334
SVM,,8,0.75,1.0,0.6470588235294118,0.8235294117647058,0.5902679811685199,1.3725490196078434,1.3725490196078434,1.1596638655462186,0.7058823529411765,0.8571428571428571,0.7815126050420168,0.823529411764706,0.823529411764706,0.8487394957983194,0.8487394957983194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5833333333333334,0.8,0.6916666666666667,0.7291666666666666,0.7291666666666666,0.7833333333333333,0.7833333333333333,0.41666666666666663,0.19999999999999996,0.3083333333333333,2.0833333333333335,2.0833333333333335,1.2166666666666668,1.2166666666666668,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5833333333333333,0.75,0.75,0.8333333333333334,0.8333333333333334,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,9,0.5833333333333334,1.0,0.4117647058823529,0.7058823529411764,0.4117647058823529,0.7549019607843138,0.7549019607843138,0.7899159663865547,0.6470588235294118,0.42857142857142855,0.5378151260504201,1.5098039215686276,1.5098039215686276,1.2184873949579833,1.2184873949579833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.35,2.5,2.5,1.3,1.3,0.5,0.8,0.65,0.625,0.625,0.7,0.7,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.3333333333333333,0.3939393939393939,1.3636363636363638,1.3636363636363638,1.121212121212121,1.121212121212121,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,0,0.8333333333333334,0.8571428571428571,0.8235294117647058,0.8403361344537814,0.6390644422470537,0.32941176470588235,0.32941176470588235,0.5210084033613445,0.9411764705882353,0.5714285714285714,0.7563025210084033,1.647058823529412,1.647058823529412,1.3697478991596639,1.3697478991596639,0.8,1.0,0.9,0.8,0.8,0.8,0.8,1.0,0.4,0.7,2.5,2.5,1.6,1.6,0.0,0.6,0.3,0.0,1.0,0.4,0.4,0.19999999999999996,0.0,0.09999999999999998,0.0,1.0,1.2,1.2,1.0,0.4,0.7,2.5,2.5,1.6,1.6,0.07692307692307693,0.0,0.038461538461538464,0.0,1.0,1.0769230769230769,1.0769230769230769
GaussianNB,,1,0.9583333333333334,1.0,0.9411764705882353,0.9705882352941176,0.9074852129730302,1.2352941176470589,1.2352941176470589,1.0672268907563025,0.9411764705882353,1.0,0.9705882352941176,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9583333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333333333337,0.0,0.041666666666666685,0.0,1.0,1.0833333333333335,1.0833333333333335,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.9166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,2,1.0,1.0,1.0,1.0,1.0,1.0294117647058825,1.0294117647058825,1.0084033613445378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,3,0.9583333333333334,1.0,0.9411764705882353,0.9705882352941176,0.9074852129730302,0.6862745098039217,0.6862745098039217,0.865546218487395,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333333,1.5,1.5,1.3333333333333335,1.3333333333333335,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,4,0.9166666666666666,1.0,0.8823529411764706,0.9411764705882353,0.828416869579514,0.823529411764706,0.823529411764706,0.9243697478991597,0.9411764705882353,0.8571428571428571,0.8991596638655461,1.0980392156862746,1.0980392156862746,1.0840336134453783,1.0840336134453783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.8,0.8583333333333334,1.1458333333333333,1.1458333333333333,1.1166666666666667,1.1166666666666667,0.08333333333333337,0.19999999999999996,0.14166666666666666,0.41666666666666696,0.41666666666666696,0.8833333333333334,0.8833333333333334,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.75,1.2500000000000002,1.2500000000000002,1.1666666666666667,1.1666666666666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,5,0.9166666666666666,1.0,0.8823529411764706,0.9411764705882353,0.828416869579514,0.5147058823529412,0.5147058823529412,0.7226890756302522,1.0,0.7142857142857143,0.8571428571428572,1.4,1.4,1.2857142857142856,1.2857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.0,0.4,0.2,0.0,1.0,0.6,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,2.0,2.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,6,0.9166666666666666,1.0,0.8823529411764706,0.9411764705882353,0.828416869579514,0.5147058823529412,0.5147058823529412,0.7226890756302522,1.0,0.7142857142857143,0.8571428571428572,1.4,1.4,1.2857142857142856,1.2857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.0,0.4,0.2,0.0,1.0,0.6,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,2.0,2.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,7,0.875,1.0,0.8235294117647058,0.9117647058823529,0.7592566023652966,0.6176470588235294,0.6176470588235294,0.7815126050420169,0.9411764705882353,0.7142857142857143,0.8277310924369747,1.3176470588235294,1.3176470588235294,1.226890756302521,1.226890756302521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.6,0.7583333333333333,1.5277777777777777,1.5277777777777777,1.3166666666666667,1.3166666666666667,0.08333333333333337,0.4,0.2416666666666667,0.20833333333333343,0.20833333333333343,0.6833333333333333,0.6833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333335,1.3333333333333335,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,8,0.875,0.8571428571428571,0.8823529411764706,0.8697478991596639,0.7130240959073808,0.6862745098039217,0.6862745098039217,0.865546218487395,0.8823529411764706,0.8571428571428571,0.8697478991596639,1.0294117647058825,1.0294117647058825,1.0252100840336134,1.0252100840336134,0.8,1.0,0.9,0.8,0.8,0.8,0.8,0.9166666666666666,0.8,0.8583333333333334,1.1458333333333333,1.1458333333333333,1.1166666666666667,1.1166666666666667,0.08333333333333337,0.19999999999999996,0.14166666666666666,0.41666666666666696,0.41666666666666696,0.8833333333333334,0.8833333333333334,0.19999999999999996,0.0,0.09999999999999998,0.0,1.0,1.2,1.2,0.8,0.6666666666666666,0.7333333333333334,1.2000000000000002,1.2000000000000002,1.1333333333333333,1.1333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.0,1.0,1.0833333333333333,1.0833333333333333
GaussianNB,,9,0.9583333333333334,1.0,0.9411764705882353,0.9705882352941176,0.9074852129730302,0.6862745098039217,0.6862745098039217,0.865546218487395,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333333,1.5,1.5,1.3333333333333335,1.3333333333333335,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LR,,0,0.9583333333333334,1.0,0.9411764705882353,0.9705882352941176,0.9074852129730302,0.6862745098039217,0.6862745098039217,0.865546218487395,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333333,1.5,1.5,1.3333333333333335,1.3333333333333335,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LR,,1,1.0,1.0,1.0,1.0,1.0,1.0294117647058825,1.0294117647058825,1.0084033613445378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LR,,2,1.0,1.0,1.0,1.0,1.0,1.0294117647058825,1.0294117647058825,1.0084033613445378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LR,,3,1.0,1.0,1.0,1.0,1.0,1.0294117647058825,1.0294117647058825,1.0084033613445378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
